sessie;lot id;gr;
3;2;36,56;
3;8;39,16;
3;6;30,3;
3;10;31,7;
3;4;49,19;
3;1;44,71;
3;9;47,32;
3;3;38,49;
3;5;46,17;
3;7;32,02;
3;11;35,35;
3;12;27,23;
3;13;53,39;
3;14;36,24;
3;15;40,65;
3;16;46,15;
3;17;39,7;
3;18;25,99;
3;19;34,76;
3;20;51,25;
3;21;48,76;
3;22;30,8;
3;23;22,74;
3;24;32;
3;25;27;
3;26;35,45;
3;27;36,01;
3;28;48,13;
3;29;43,53;
3;30;44,32;
3;31;52,44;
3;32;29,21;of 28,21
3;33;55,51;
3;34;53,58;
3;35;45,62;
3;36;49,59;
3;37;39,35;
3;38;38,42;
3;39;34,73;
3;40;38,97;
3;41;43,8;
3;42;37,39;
3;43;56,22;
3;44;32,23;
3;45;66,44;
3;46;46,44;
3;47;54,16;
3;48;58,59;
3;49;35;
3;50;59,66;
3;51;37,37;
3;52;57,37;
3;53;49,58;
3;54;34,81;
3;55;43,76;
3;56;50,73;
3;57;53,97;
3;58;62,35;
3;59;54,5;
3;60;70,36;
3;61;45,92;
3;62;51,83;
3;63;50,6;
3;64;38,58;
3;65;46,37;
3;66;38,15;
3;67;43,15;
3;68;37,36;
3;69;37,04;
3;70;33,36;
3;71;48,99;
3;72;54,01;
3;73;50,63;
3;74;46,37;
3;75;30,15;
3;76;41,52;
3;77;42,53;
3;78;57,29;
3;79;49,19;
3;80;39;
3;81;63,11;
3;82;56,18;
3;83;46,72;
3;84;35,72;
3;85;45,69;
3;86;30,15;
3;87;28,88;
3;88;42,31;
3;89;48,72;
3;90;45,43;
3;91;36,4;
3;92;43,02;
3;93;44,88;
3;94;55,62;
3;95;40,44;
3;96;49,46;
3;97;57,79;
3;98;43,45;
3;99;58,04;
3;100;49,62;
3;999;4210;
